"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CKAP2",1.49354585858586,4.823,22.4675999937812,2.49913574098559e-75,1.74257919394177e-73,160.96338631613
"ECHDC2",-1.65124161616162,10.5227752808989,-22.4481425097415,3.0692726748633e-75,2.1287365110395e-73,160.758462006254
"ASPA",-1.76282161616162,5.30465842696629,-22.4156823265962,4.32445810996301e-75,2.98341848125967e-73,160.416569272116
"AKR1C3",1.77691565656566,10.2186359550562,22.3829814898715,6.10865526538017e-75,4.17019664949173e-73,160.072110442
"HSP90AB1",1.16522767676767,9.84791460674157,22.3362490504465,1.00081198042964e-74,6.79666011084486e-73,159.579794480682
"OLFML3",-1.69865676767677,5.70688314606742,-22.3283919848827,1.08743450956759e-74,7.34666247163303e-73,159.497015991337
"HGF",-1.66955595959596,4.6024606741573,-22.3058009290575,1.38058122534616e-74,9.27907144190133e-73,159.258997344124
"CCT6A",1.03316808080808,7.90742471910112,22.2722540054274,1.96789995291346e-74,1.31586910184813e-72,158.905522412054
"LPGAT1",1.7229994949495,7.95740224719101,22.2367465784994,2.86388036939476e-74,1.9052110273744e-72,158.531357589826
"OLA1",1.19785848484849,8.81482696629213,22.2279416696859,3.14314848429792e-74,2.08038137496247e-72,158.438569461571
"GOLPH3L",1.30196636363636,6.60021123595506,22.1720310635678,5.67526674055835e-74,3.73736378940103e-72,157.849324866482
"RND3",-2.10205393939394,8.90179101123596,-22.1692485390427,5.84465060085267e-74,3.82956779821698e-72,157.819997669282
"ST3GAL6",-1.71804929292929,6.39434157303371,-22.1463859272127,7.44226472620573e-74,4.85198448824982e-72,157.57902361596
"MSTO1",1.1619903030303,5.2869595505618,22.1318926339061,8.67434652850069e-74,5.62710469577714e-72,157.426256431634
"UTP18",1.3379396969697,6.9536,22.1215075661548,9.68079267146073e-74,6.2489037447117e-72,157.316789104081
"ROBO1",2.77006757575757,7.38315505617977,22.0512386921733,2.03478906146492e-73,1.30697608731237e-71,156.576030668279
"DTYMK",1.07151111111111,4.34297528089888,22.0399852660764,2.29186539918652e-73,1.46488396764671e-71,156.457389297851
"ACAA1",-1.57911898989899,8.73732359550562,-22.0345669736962,2.42698698948354e-73,1.53618851242116e-71,156.400264937806
"FAM13A",-1.4389704040404,6.21209887640449,-22.0277774014848,2.60760907371695e-73,1.64254177353601e-71,156.328682449944
"CYP4A11",-2.93385383838384,9.01361348314607,-21.9999299293595,3.50035172177583e-73,2.18378402393469e-71,156.035076087208
"DBF4",1.27046303030303,4.82253258426966,21.9990875603509,3.53166713953087e-73,2.19282894439728e-71,156.026194417892
"CENPU",2.00229737373737,5.15001573033708,21.9968606517622,3.61580958027708e-73,2.23443322830487e-71,156.00271453446
"GBA1LP",1.37775171717172,7.20718876404494,21.9388494134228,6.67735614759252e-73,4.06850686020836e-71,155.391024785684
"SLC6A13",-1.21085373737374,4.77198876404494,-21.9328541707362,7.11438873106577e-73,4.31462858904031e-71,155.32780509919
"TAT",-2.40789898989899,8.48957752808989,-21.9066072795739,9.39030446451628e-73,5.6685268478161e-71,155.051024038178
"SCAMP3",1.07703212121212,7.01152134831461,21.9061296189977,9.43785810669001e-73,5.67097842641157e-71,155.045986846381
"TPX2",1.68675484848485,5.43228539325843,21.9011354004093,9.949716298255e-73,5.95111700976821e-71,154.993319822351
